ARTICLE_ID,DATE,PICKING_QUANTITY_CU
b16a1ff1,2022-06-13,5
b16a1ff1,2022-06-14,5
b16a1ff1,2022-06-15,1
b16a1ff1,2022-06-17,6
b16a1ff1,2022-06-18,5
bd574fe0,2022-06-13,15
bd574fe0,2022-06-14,15
bd574fe0,2022-06-15,8
bd574fe0,2022-06-17,17
bd574fe0,2022-06-18,3
a6400298,2022-06-14,1
a6400298,2022-06-17,2
a6400298,2022-06-18,1
b9d7d5ee,2022-06-13,2
b9d7d5ee,2022-06-14,3
b9d7d5ee,2022-06-17,3
ce574620,2022-06-13,53
ce574620,2022-06-14,94
ce574620,2022-06-15,53
ce574620,2022-06-17,42
ce574620,2022-06-18,24
06686cdb,2022-06-13,3
06686cdb,2022-06-14,4
06686cdb,2022-06-15,5
06686cdb,2022-06-17,1
06686cdb,2022-06-18,1
f0a1495d,2022-06-13,12
f0a1495d,2022-06-14,6
f0a1495d,2022-06-15,7
f0a1495d,2022-06-17,3
f0a1495d,2022-06-18,2
1ab18432,2022-06-14,1
1ab18432,2022-06-15,3
1ab18432,2022-06-17,5
35b4563f,2022-06-13,12
35b4563f,2022-06-14,22
35b4563f,2022-06-15,10
35b4563f,2022-06-17,31
35b4563f,2022-06-18,5
b5baaa58,2022-06-13,6
b5baaa58,2022-06-14,4
b5baaa58,2022-06-15,1
b5baaa58,2022-06-17,8
b5baaa58,2022-06-18,6
7a37ce6b,2022-06-13,9
7a37ce6b,2022-06-14,9
7a37ce6b,2022-06-15,8
7a37ce6b,2022-06-17,9
7a37ce6b,2022-06-18,3
c5c1ce63,2022-06-13,21
c5c1ce63,2022-06-14,14
c5c1ce63,2022-06-15,22
c5c1ce63,2022-06-17,19
c5c1ce63,2022-06-18,9
9692cff3,2022-06-13,46
9692cff3,2022-06-14,48
9692cff3,2022-06-15,72
9692cff3,2022-06-17,53
9692cff3,2022-06-18,10
383f7af3,2022-06-13,5
383f7af3,2022-06-14,9
383f7af3,2022-06-15,5
383f7af3,2022-06-17,8
383f7af3,2022-06-18,3
1008b421,2022-06-13,11
1008b421,2022-06-14,7
1008b421,2022-06-15,12
1008b421,2022-06-17,40
1008b421,2022-06-18,2
5cfd7844,2022-06-13,5
5cfd7844,2022-06-14,7
5cfd7844,2022-06-15,2
5cfd7844,2022-06-17,4
5cfd7844,2022-06-18,5
e3e64101,2022-06-13,2
e3e64101,2022-06-14,7
e3e64101,2022-06-17,4
e3e64101,2022-06-18,8
ebb256b7,2022-06-13,2
ebb256b7,2022-06-14,1
ebb256b7,2022-06-15,1
ebb256b7,2022-06-17,2
bb2d4975,2022-06-13,16
bb2d4975,2022-06-14,32
bb2d4975,2022-06-15,35
bb2d4975,2022-06-17,43
bb2d4975,2022-06-18,9
fa72bab2,2022-06-13,4
30c49200,2022-06-17,5
d8c9cdbd,2022-06-14,2
d8c9cdbd,2022-06-17,3
749a4eba,2022-06-13,8
749a4eba,2022-06-14,7
749a4eba,2022-06-15,2
749a4eba,2022-06-17,3
8b1432e8,2022-06-13,10
8b1432e8,2022-06-14,4
8b1432e8,2022-06-15,8
8b1432e8,2022-06-17,11
8b1432e8,2022-06-18,5
8c854009,2022-06-13,29
8c854009,2022-06-14,46
8c854009,2022-06-15,13
8c854009,2022-06-17,65
8c854009,2022-06-18,10
6627251b,2022-06-13,23
6627251b,2022-06-14,47
6627251b,2022-06-15,16
6627251b,2022-06-17,19
6627251b,2022-06-18,16
94b38b5a,2022-06-15,1
94b38b5a,2022-06-17,4
9bf9e9fc,2022-06-13,28
9bf9e9fc,2022-06-14,26
9bf9e9fc,2022-06-15,10
9bf9e9fc,2022-06-17,21
9bf9e9fc,2022-06-18,1
80c55713,2022-06-13,20
80c55713,2022-06-14,12
80c55713,2022-06-15,11
80c55713,2022-06-17,17
80c55713,2022-06-18,11
11604e55,2022-06-13,14
11604e55,2022-06-14,14
11604e55,2022-06-15,5
11604e55,2022-06-17,10
11604e55,2022-06-18,5
e0f7ba09,2022-06-13,10
e0f7ba09,2022-06-14,5
e0f7ba09,2022-06-15,10
e0f7ba09,2022-06-17,9
e0f7ba09,2022-06-18,1
ae39e448,2022-06-13,11
ae39e448,2022-06-14,14
ae39e448,2022-06-15,18
ae39e448,2022-06-17,19
ae39e448,2022-06-18,14
4a027385,2022-06-13,23
4a027385,2022-06-14,25
4a027385,2022-06-15,16
4a027385,2022-06-17,51
4a027385,2022-06-18,2
a20681b6,2022-06-13,8
a20681b6,2022-06-14,6
a20681b6,2022-06-15,4
a20681b6,2022-06-17,6
3f5045d4,2022-06-13,5
3f5045d4,2022-06-14,11
3f5045d4,2022-06-15,7
3f5045d4,2022-06-17,10
3f5045d4,2022-06-18,1
09f76ede,2022-06-13,2
09f76ede,2022-06-14,1
09f76ede,2022-06-15,7
09f76ede,2022-06-17,5
09f76ede,2022-06-18,1
6b7a7cb7,2022-06-13,14
6b7a7cb7,2022-06-14,22
6b7a7cb7,2022-06-15,8
6b7a7cb7,2022-06-17,20
6b7a7cb7,2022-06-18,9
a60899b9,2022-06-13,17
a60899b9,2022-06-14,9
a60899b9,2022-06-15,9
a60899b9,2022-06-17,12
a60899b9,2022-06-18,4
7afba9c4,2022-06-13,1
7afba9c4,2022-06-14,2
7afba9c4,2022-06-15,2
7afba9c4,2022-06-17,3
7232c76f,2022-06-13,4
7232c76f,2022-06-14,2
7232c76f,2022-06-15,1
7232c76f,2022-06-18,3
723dbcd5,2022-06-13,1
723dbcd5,2022-06-14,2
723dbcd5,2022-06-15,5
723dbcd5,2022-06-17,1
723dbcd5,2022-06-18,1
1d34848b,2022-06-13,74
1d34848b,2022-06-14,132
1d34848b,2022-06-15,111
1d34848b,2022-06-17,170
1d34848b,2022-06-18,72
3fe52ca3,2022-06-13,4
3fe52ca3,2022-06-14,5
3fe52ca3,2022-06-15,4
3fe52ca3,2022-06-17,5
ecb0e972,2022-06-13,37
ecb0e972,2022-06-14,31
ecb0e972,2022-06-15,25
ecb0e972,2022-06-17,25
ecb0e972,2022-06-18,12
82a052b8,2022-06-13,3
82a052b8,2022-06-14,6
82a052b8,2022-06-15,6
82a052b8,2022-06-17,5
0aa0a3f6,2022-06-13,1
0aa0a3f6,2022-06-14,8
0aa0a3f6,2022-06-15,4
0aa0a3f6,2022-06-17,11
0aa0a3f6,2022-06-18,4
d396d0ba,2022-06-13,27
d396d0ba,2022-06-14,26
d396d0ba,2022-06-15,31
d396d0ba,2022-06-17,25
d396d0ba,2022-06-18,4
ce4eec34,2022-06-13,1
ce4eec34,2022-06-14,2
ce4eec34,2022-06-15,1
ce4eec34,2022-06-17,5
ce4eec34,2022-06-18,4
cb004daf,2022-06-13,2
cb004daf,2022-06-14,1
cb004daf,2022-06-15,4
cb004daf,2022-06-17,9
cb004daf,2022-06-18,1
f20f6913,2022-06-13,10
f20f6913,2022-06-14,5
f20f6913,2022-06-15,8
f20f6913,2022-06-17,3
f20f6913,2022-06-18,1
d45dd417,2022-06-13,18
d45dd417,2022-06-14,10
d45dd417,2022-06-15,19
d45dd417,2022-06-17,11
d45dd417,2022-06-18,6
3038bf57,2022-06-13,32
3038bf57,2022-06-14,23
3038bf57,2022-06-15,30
3038bf57,2022-06-17,26
3038bf57,2022-06-18,16
31bfba4f,2022-06-13,3
31bfba4f,2022-06-14,2
31bfba4f,2022-06-15,2
31bfba4f,2022-06-17,1
7f6c88fb,2022-06-13,1
7f6c88fb,2022-06-14,3
7f6c88fb,2022-06-15,4
7f6c88fb,2022-06-17,4
7f6c88fb,2022-06-18,2
32f87c3e,2022-06-13,13
32f87c3e,2022-06-14,15
32f87c3e,2022-06-15,13
32f87c3e,2022-06-17,9
32f87c3e,2022-06-18,12
53572b3c,2022-06-13,7
53572b3c,2022-06-14,10
53572b3c,2022-06-15,4
53572b3c,2022-06-17,13
53572b3c,2022-06-18,1
abc0ade9,2022-06-13,41
abc0ade9,2022-06-14,48
abc0ade9,2022-06-15,40
abc0ade9,2022-06-17,55
abc0ade9,2022-06-18,18
82cf3909,2022-06-13,22
82cf3909,2022-06-14,32
82cf3909,2022-06-15,35
82cf3909,2022-06-17,46
82cf3909,2022-06-18,30
b93f422f,2022-06-15,2
b93f422f,2022-06-17,2
4e94bfde,2022-06-13,12
4e94bfde,2022-06-14,11
4e94bfde,2022-06-15,5
4e94bfde,2022-06-17,6
4e94bfde,2022-06-18,4
9476d072,2022-06-13,4
9476d072,2022-06-14,4
9476d072,2022-06-15,5
9476d072,2022-06-17,3
9476d072,2022-06-18,1
f38aa68d,2022-06-13,9
f38aa68d,2022-06-14,5
f38aa68d,2022-06-15,5
f38aa68d,2022-06-17,17
f38aa68d,2022-06-18,8
60cbd211,2022-06-13,32
60cbd211,2022-06-14,28
60cbd211,2022-06-15,13
60cbd211,2022-06-17,34
60cbd211,2022-06-18,25
4a9ec1ae,2022-06-13,10
4a9ec1ae,2022-06-14,18
4a9ec1ae,2022-06-15,20
4a9ec1ae,2022-06-17,16
4a9ec1ae,2022-06-18,6
c25097ef,2022-06-13,2
c25097ef,2022-06-17,5
c25097ef,2022-06-18,2
87bc979c,2022-06-13,28
87bc979c,2022-06-14,26
87bc979c,2022-06-15,14
87bc979c,2022-06-17,38
87bc979c,2022-06-18,10
d349d9c1,2022-06-13,29
d349d9c1,2022-06-14,21
d349d9c1,2022-06-15,26
d349d9c1,2022-06-17,62
d349d9c1,2022-06-18,14
75314982,2022-06-15,1
75314982,2022-06-17,7
720955f3,2022-06-13,11
720955f3,2022-06-14,11
720955f3,2022-06-15,30
720955f3,2022-06-17,19
720955f3,2022-06-18,5
482a18c5,2022-06-13,3
482a18c5,2022-06-14,4
482a18c5,2022-06-15,4
482a18c5,2022-06-17,4
482a18c5,2022-06-18,4
0ecf51b9,2022-06-13,16
0ecf51b9,2022-06-14,13
0ecf51b9,2022-06-15,7
0ecf51b9,2022-06-17,12
0ecf51b9,2022-06-18,1
63dea17a,2022-06-13,16
63dea17a,2022-06-14,25
63dea17a,2022-06-15,10
63dea17a,2022-06-17,20
63dea17a,2022-06-18,4
184ab2cd,2022-06-13,5
184ab2cd,2022-06-14,13
184ab2cd,2022-06-15,4
184ab2cd,2022-06-17,9
184ab2cd,2022-06-18,11
e671cc72,2022-06-13,27
e671cc72,2022-06-14,20
e671cc72,2022-06-15,28
e671cc72,2022-06-17,80
e671cc72,2022-06-18,27
842f7729,2022-06-13,43
842f7729,2022-06-14,45
842f7729,2022-06-15,50
842f7729,2022-06-17,65
842f7729,2022-06-18,5
7bb1dbc1,2022-06-13,3
7bb1dbc1,2022-06-14,4
7bb1dbc1,2022-06-15,10
7bb1dbc1,2022-06-17,7
19fee02c,2022-06-13,6
19fee02c,2022-06-14,3
19fee02c,2022-06-15,4
19fee02c,2022-06-17,14
19fee02c,2022-06-18,2
ad3ec2a8,2022-06-13,12
ad3ec2a8,2022-06-14,6
ad3ec2a8,2022-06-15,8
ad3ec2a8,2022-06-17,14
ad3ec2a8,2022-06-18,5
f5336d0d,2022-06-13,13
f5336d0d,2022-06-14,11
f5336d0d,2022-06-15,13
